Taxon Id	Common name	Scientific name	Parent	Rank
1149649		Pellorneum albiventre	98145	species
1149650		Pellorneum pyrrogenys	98145	species
1149651		Gypsophila crispifrons	2828480	species
1149652	grey-sided scimitar-babbler	Erythrogenys swinhoei	1608426	species
1149653		Pseudoalcippe atriceps	201375	species
1149658		Ptilocichla	9173	genus
1149659		Ptilocichla leucogrammica	1149658	species
1149663		Ptilocichla falcata	1149658	species
1149664		Ptilocichla mindanensis	1149658	species
1149665		Rhopocichla	9173	genus
1149666		Rhopocichla atriceps	1149665	species
1149667		Robsonius rabori	2162876	species
1149668		Spelaeornis troglodytoides	202234	species
1149669		Stachyris grammiceps	98149	species
1149670		Stachyris leucotis	98149	species
1149672		Stachyris maculata	98149	species
1149673		Stachyris nigrocapitata	98149	species
1149674		Trichastoma celebense	135978	species
1149675		Stachyris nigricollis	98149	species
1149676		Turdoides reinwardtii	147061	species
1149677		Sphenocichla	9173	genus
1149678		Sphenocichla humei	1149677	species
1149679		Trichastoma rostratum	135978	species
1149680		Myiarchus magnirostris	190695	species
1149681	Nutting's flycatcher	Myiarchus nuttingi	190695	species
1150649		Hypotaenidia torquata celebensis	2861797	subspecies
1150650		Hypotaenidia torquata sulcirostris	2861797	subspecies
1150651		Hypotaenidia torquata torquata	2861797	subspecies
1150653		Eulabeornis	9119	genus
1150654		Eulabeornis castaneoventris	1150653	species
1150655		Habroptila	9119	genus
1150656		Habroptila wallacii	1150655	species
1150657	plain bush-hen	Amaurornis olivacea	72016	species
1150658		Aramidopsis	9119	genus
1150659		Aramidopsis plateni	1150658	species
1150660		Gallirallus lafresnayanus	9124	species
1150662		Gallirallus australis australis	9125	subspecies
1150663		Gallirallus australis greyi	9125	subspecies
1150664		Hypotaenidia philippensis mellori	2861860	subspecies
1150666		Hypotaenidia philippensis philippensis	2861860	subspecies
1150667		Hypotaenidia philippensis yorki	2861860	subspecies
1150668		Hypotaenidia philippensis assimilis	2861860	subspecies
1150669		Hypotaenidia philippensis sethsmithi	2861860	subspecies
1150670		Gallirallus striatus	9124	species
1150671		Lewinia	9119	genus
1150672	Lewin's rail	Lewinia pectoralis	1150671	species
1150673		Hypotaenidia woodfordi immaculata	2861862	subspecies
1150993		Porzana fusca	54491	species
1150994		Porzana paykullii	54491	species
1154683		Pyriglena atra	183186	species
1154693		Certhia himalayana yunnanensis	344963	subspecies
1154694		Certhia himalayana himalayana	344963	subspecies
1154695		Certhia brachydactyla mauritanica	73330	subspecies
1154696		Certhia brachydactyla dorotheae	73330	subspecies
1154697		Certhia brachydactyla megarhynchos	73330	subspecies
1154699		Certhia hodgsoni khamensis	344969	subspecies
1154700		Certhia hodgsoni mandellii	344969	subspecies
1154708		Certhia familiaris bianchii	73333	subspecies
1154709		Phylloscopus fuligiventer weigoldi	565574	subspecies
1154710		Phylloscopus fuligiventer fuligiventer	565574	subspecies
1155095		Spizixos semitorques cinereicapillus	241747	subspecies
1155786		Tetrastes	466585	genus
1155787	hazel grouse	Tetrastes bonasia	1155786	species
1156028		Gliciphila melanops	2821653	species
1156346		Garrulax galbanus	98126	species
1156347		Garrulax courtoisi	98126	species
1156348		Garrulax pectoralis picticollis	520176	subspecies
1156349		Argya squamiceps	2183803	species
1156350		Garrulax caerulatus	98126	species
1156353		Garrulax sukatschewi	98126	species
1156354		Pnoepyga immaculata	634344	species
1158111		Gerygone cinerea	117202	species
1158112		Gerygone ruficollis	117202	species
1158113		Gerygone tenebrosa	117202	species
1158114		Gerygone sulphurea	117202	species
1158115		Gerygone modesta	117202	species
1158116		Gerygone inornata	117202	species
1158117	fan-tailed gerygone	Gerygone flavolateralis	117202	species
1158118	green-backed flyeater	Gerygone chloronota	117202	species
1158920	Indian pond-heron	Ardeola grayii	188374	species
1159641		Eulidia	9242	genus
1159642	Chilean woodstar	Eulidia yarrellii	1159641	species
1160812		Apus unicolor	8894	species
1160816	pallid swift	Apus pallidus	8894	species
1160817		Apus batesi	8894	species
1160835		Apus balstoni	8894	species
1160836		Apus barbatus	8894	species
1160837		Apus bradfieldi	8894	species
1160838		Apus horus	8894	species
1160839		Apus berliozi	8894	species
1160840		Apus acuticauda	8894	species
1160841		Apus niansae	8894	species
1160842		Apus alexandri	8894	species
1160848		Tachymarptis aequatorialis	670358	species
1160849	grey currawong	Strepera versicolor	254662	species
1160850		Dyaphorophyia	461255	genus
1160851		Platysteira castanea	107225	species
1160893		Artamus maximus	175023	species
1160894		Machaerirhynchus nigripectus	338558	species
1162370		Hylopezus paraensis	1118567	subspecies
1162371		Hylopezus auricularis	117177	species
1162372		Hylopezus nattereri	117177	species
1162373		Hylopezus whittakeri	117177	species
1162374		Hylopezus sp. LSC-2012b	2642078	species
1162386		Amazilia candida	57391	species
1162387		Crypturellus boucardi	48395	species
1162389		Psarocolius montezuma	84844	species
1162390	pale-billed hornbill	Tockus pallidirostris	81910	species
1162391	golden vireo	Vireo hypochryseus	28732	species
1165718		Eriocnemis derbyi	56652	species
1165719		Lepidopyga goudoti	304653	species
1165723		Malurus lamberti dulcis	228352	subspecies
1165724		Malurus lamberti rogersi	228352	subspecies
1167642		Hylophilus hypoxanthus	158056	species
1167643	Imeri warbling antbird	Hypocnemis flavescens	88174	species
1167644	rufous-bellied antwren	Isleria guttata	2821867	species
1167645		Percnostola minor	324748	species
1167646		Pheugopedius	69501	genus
1167647	Coraya's wren	Pheugopedius coraya	1167646	species
1167651		Topaza pyra	304689	species
1167959		Knipolegus poecilocercus	377286	species
1171711	Blue crane	Anthropoides paradiseus	9114	species
1171716		Anthropoides	9109	genus
1175648		Newtonia archboldi	125289	species
1175649		Newtonia amphichroa	125289	species
1175650		Xenopirostris polleni	125314	species
1175651	red-shouldered vanga	Calicalicus rufocarpalis	1132578	species
1175652		Newtonia fanovanae	125289	species
1176404		Thectocercus acuticaudatus acuticaudatus	211510	subspecies
1176440		Acrocephalus atyphus atyphus	435339	subspecies
1176745	Aldabra fody	Foudia aldabrana	441682	species
1176746		Foudia eminentissima algondae	441684	subspecies
1176747		Foudia eminentissima consobrina	441684	subspecies
